genomicsSampleID	siteID	plotID	nlcdClass	decimalLatitude	decimalLongitude	elevation	collectionDate	horizon	soilTemp	d15N	organicd13C	nitrogenPercent	organicCPercent	CNratio	soilInWaterpH	soilInCaClpH
GUAN_048-M-20210920-COMP	GUAN	GUAN_048	evergreenForest	17.96911	-66.864276	130.1	2021-09-20	M	27.433333333333334	NA	NA	NA	NA	NA	7.676413727938582	7.050993114975192
GUAN_042-M-20210920-COMP	GUAN	GUAN_042	evergreenForest	17.970725	-66.863969	144.8	2021-09-20	M	28.1	NA	NA	NA	NA	NA	7.629825398875229	7.308129986825913
GUAN_043-M-20210921-COMP	GUAN	GUAN_043	evergreenForest	17.968869	-66.867682	113.5	2021-09-21	M	28.53333333333333	NA	NA	NA	NA	NA	7.715340307195167	7.373411153940313
GUAN_007-M-20210922-COMP	GUAN	GUAN_007	evergreenForest	17.972832	-66.857711	172.4	2021-09-22	M	26.333333333333332	NA	NA	NA	NA	NA	7.904983076929779	7.424065728693269
GUAN_004-M-20210922-COMP	GUAN	GUAN_004	evergreenForest	17.969254	-66.85267	131.1	2021-09-22	M	28.4	NA	NA	NA	NA	NA	7.749693042895748	7.279275300083265
GUAN_003-M-20210922-COMP	GUAN	GUAN_003	evergreenForest	17.973138	-66.861701	181	2021-09-22	M	26.9	NA	NA	NA	NA	NA	7.655890567794073	7.27837238495001
GUAN_006-M-20210922-COMP	GUAN	GUAN_006	evergreenForest	17.963818	-66.875667000000007	98.9	2021-09-22	M	28.733333333333334	NA	NA	NA	NA	NA	7.737007447761685	7.262784335106318
KONZ_024-M-20210719-COMP	KONZ	KONZ_024	deciduousForest	39.110903	-96.552209	351	2021-07-19	M	20.466666666666665	NA	NA	NA	NA	NA	7.613580199704036	7.183659743648566
KONZ_042-M-20210720-COMP	KONZ	KONZ_042	grasslandHerbaceous	39.09957	-96.564404	401.2	2021-07-20	M	20.866666666666667	NA	NA	NA	NA	NA	6.8896367880958405	6.2304307205383305
KONZ_046-M-20210720-COMP	KONZ	KONZ_046	shrubScrub	39.103068	-96.563925	405.7	2021-07-20	M	21.4	NA	NA	NA	NA	NA	6.952600815765721	6.420307847725707
KONZ_043-M-20210721-COMP	KONZ	KONZ_043	grasslandHerbaceous	39.102192	-96.56118	405.4	2021-07-21	M	20.766666666666666	NA	NA	NA	NA	NA	6.751301699896741	5.94132596702062
KONZ_045-M-20210721-COMP	KONZ	KONZ_045	grasslandHerbaceous	39.103827	-96.561811	392.1	2021-07-21	M	23.566666666666666	NA	NA	NA	NA	NA	7.3853273615603925	6.7864695430513775
WOOD_003-M-20210708-COMP	WOOD	WOOD_003	grasslandHerbaceous	47.118581	-99.239944	585.7	2021-07-08	M	18.5	7.033333333333333	-21.1	0.35333333333333333	4.476666666666667	NA	6.583343638198415	6.354475787815374
WOOD_002-M-20210708-COMP	WOOD	WOOD_002	grasslandHerbaceous	47.136134	-99.232896	573.6	2021-07-08	M	18.900000000000002	7.833333333333333	-22.033333333333335	0.41333333333333333	5.886666666666667	NA	7.261330918894823	6.707714000244737
WOOD_005-M-20210708-COMP	WOOD	WOOD_005	grasslandHerbaceous	47.149339	-99.251928	590.3	2021-07-08	M	21.8	5.933333333333334	-19.3	0.24333333333333335	1	NA	7.9286050570873945	7.381795094329045
WOOD_043-M-20210712-COMP	WOOD	WOOD_043	grasslandHerbaceous	47.131002	-99.242763	580.2	2021-07-12	M	19.833333333333332	7.033333333333333	-21.933333333333334	0.43	3.723333333333333	NA	7.238510011140528	6.688311345666639
WOOD_042-M-20210712-COMP	WOOD	WOOD_042	grasslandHerbaceous	47.129092	-99.245921	584.5	2021-07-12	M	19.466666666666665	6.9	-23.2	0.3433333333333333	3.81	NA	5.565117754220585	5.20427989476056
WOOD_001-M-20210714-COMP	WOOD	WOOD_001	grasslandHerbaceous	47.128258	-99.257768	596.3	2021-07-14	M	18.233333333333334	6.966666666666667	-22.3	0.37333333333333335	3.8633333333333333	NA	7.71270333230136	7.11016931697478
WOOD_004-M-20210714-COMP	WOOD	WOOD_004	grasslandHerbaceous	47.12584	-99.253801	594.1	2021-07-14	M	18.566666666666666	7.233333333333333	-23.933333333333334	0.39666666666666667	5.3533333333333335	NA	6.662667906415856	6.098531822580724
WOOD_024-M-20210714-COMP	WOOD	WOOD_024	emergentHerbaceousWetlands	47.151171	-99.262648	586.6	2021-07-14	M	NA	5.933333333333334	-24.133333333333333	0.62	7.93	NA	7.925236557607071	7.662862320293173
WOOD_024-O-20210714-COMP	WOOD	WOOD_024	emergentHerbaceousWetlands	47.151171	-99.262648	586.6	2021-07-14	O	14.6	4.5	-29.3	2.77	44.01	NA	7.29	6.92
CLBJ_040-M-20210503-COMP	CLBJ	CLBJ_040	deciduousForest	33.378824	-97.646691	330.4	2021-05-03	M	18.866666666666667	NA	NA	NA	NA	NA	5.507977629084249	4.886460381283949
CLBJ_038-M-20210504-COMP	CLBJ	CLBJ_038	deciduousForest	33.414259	-97.597098	281	2021-05-04	M	17.900000000000002	NA	NA	NA	NA	NA	6.022670701890988	5.207260927188736
CLBJ_032-M-20210504-COMP	CLBJ	CLBJ_032	grasslandHerbaceous	33.406134	-97.593996	289.9	2021-05-04	M	20.133333333333333	NA	NA	NA	NA	NA	5.786092141255594	4.698625983460064
CLBJ_033-M-20210505-COMP	CLBJ	CLBJ_033	deciduousForest	33.380971	-97.620209	308.6	2021-05-05	M	16.233333333333334	NA	NA	NA	NA	NA	6.227408127679415	5.295270324876799
CLBJ_001-M-20210506-COMP	CLBJ	CLBJ_001	deciduousForest	33.397987	-97.568339	278.1	2021-05-06	M	18.633333333333333	NA	NA	NA	NA	NA	6.169992753184524	5.292946477873531
CLBJ_003-M-20210506-COMP	CLBJ	CLBJ_003	deciduousForest	33.403989	-97.572744	273.4	2021-05-06	M	17.066666666666666	NA	NA	NA	NA	NA	6.123000430112128	5.225470415047666
