taxon_oid	Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID	GOLD Study ID	Ecosystem	Ecosystem Category	Ecosystem Subtype	Ecosystem Type	Specific Ecosystem	Altitude In Meters	Chlorophyll Concentration	Depth In Meters	Elevation In Meters	Geographic Location	Habitat	Isolation	Isolation Country	Latitude	Longhurst Code	Longhurst Description	Longitude	Nitrate Concentration	Oxygen Concentration	pH	Pressure	Salinity	Salinity Concentration	Sample Collection Date	Sample Collection Temperature	Subsurface In Meters	Genome Size  * assembled	Gene Count  * assembled	Scaffold Count  * assembled	Genome MetaBAT Bin Count  * assembled	Genome EukCC Bin Count  * assembled	CRISPR Count  * assembled	GC Count  * assembled	GC  * assembled	Coding Base Count  * assembled	Coding Base Count %  * assembled	CDS Count  * assembled	CDS %  * assembled
3300061216	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from National Grasslands LBJ, Texas, USA - CLBJ_006-M-20210506-comp-1	DOE Joint Genome Institute  (JGI)	3300061216	Gs0161344	Environmental	Terrestrial	Grasslands	Soil	Unclassified			.1	275.8	USA: Alvord, Texas	Terrestrial soil	grassland topsoil	USA	33.39823			-97.56673							2021/5/6			2143172963	3667312	1962396	20	0	269	1341734899	62.61	2140307894	99.87	3645311	99.4
3300069274	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Guanica State Forest and Biosphere Reserve, Puerto Rico - GUAN_007-M-20210922-comp-1 re-annotation	DOE Joint Genome Institute  (JGI)	3300069274	Gs0161344	Environmental	Terrestrial	Tropical forest	Soil	Unclassified			.1	172.4	Puerto Rico: Yauco	Terrestrial soil	forest topsoil	Puerto Rico	17.972832			-66.857711							2021/9/22			2518130650	6046062	4472339	0	0	494	1623702537	64.48	2514878413	99.87	6020118	99.57
3300061538	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from National Grasslands LBJ, Texas, USA - CLBJ_002-M-20210506-comp-1	DOE Joint Genome Institute  (JGI)	3300061538	Gs0161344	Environmental	Terrestrial	Grasslands	Soil	Unclassified			.1	263.1	USA: Alvord, Texas	Terrestrial soil	grassland topsoil	USA	33.40398			-97.57114							2021/5/6			1934300057	3432497	1919287	10	0	189	1241336635	64.17	1931626848	99.86	3411372	99.38
3300069284	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Konza Prairie Bio Station, Kansas, USA - KONZ_043-M-20210721-comp-1 re-annotation	DOE Joint Genome Institute  (JGI)	3300069284	Gs0161344	Environmental	Terrestrial	Grasslands	Soil	Unclassified			.1	405.4	USA: Konza Prairie Bio Station, Kansas	Terrestrial soil	grassland topsoil	USA	39.102192			-96.56118							2021/7/21			3807142992	8670674	6188518	0	0	596	2440943778	64.11	3802571256	99.88	8633184	99.57
3300060885	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Chase Lake Wetlands, North Dakota, USA - WOOD_004-M-20210714-comp-1	DOE Joint Genome Institute  (JGI)	3300060885	Gs0161344	Environmental	Terrestrial	Wetlands	Soil	Unclassified			.1	594.1	USA: Goldwin, North Dakota	Terrestrial soil	wetland topsoil	USA	47.12584			-99.253801							2021/7/14			3352712117	5468796	2700566	29	0	428	2184570119	65.16	3348503072	99.87	5432824	99.34
3300060745	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Toolik Field Station, Alaska, USA - TOOL_002-O-20210804-comp-1	DOE Joint Genome Institute  (JGI)	3300060745	Gs0161344	Environmental	Terrestrial	Tundra	Soil	Unclassified			.1	843.8	USA: Toolik Field Station, Alaska	Terrestrial soil	tundra topsoil	USA	68.627943			-149.347229							2021/8/4			1446901187	2415328	1298807	20	0	170	923423355	63.82	1444906080	99.86	2400605	99.39
3300060779	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Wind River Experimental Forest, Washington, USA - WREF_004-M-20210622-comp-1	DOE Joint Genome Institute  (JGI)	3300060779	Gs0161344	Environmental	Terrestrial	Temperate forest	Soil	Unclassified			.1	567.8	USA: Stabler, Washington	Terrestrial soil	forest topsoil	USA	45.822941			-121.998707							2021/6/22			1814049538	3169050	1778393	6	0	254	1118492811	61.66	1811786253	99.88	3153285	99.5
3300061638	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Lower Teakettle, Sierra National Forest, California, USA - TEAK_004-O-20210726-comp-1	DOE Joint Genome Institute  (JGI)	3300061638	Gs0161344	Environmental	Terrestrial	Temperate forest	Soil	Unclassified			.02	2190.5	USA: Lower Teakettle, California	Terrestrial soil	forest topsoil	USA	37.001687			-119.036304							2021/7/26			2084465830	3473849	1884551	22	0	352	1297083983	62.23	2082025307	99.88	3456440	99.5
3300060646	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Healy, Denali National Park, Alaska, USA - HEAL_048-M-20210622-comp-1	DOE Joint Genome Institute  (JGI)	3300060646	Gs0161344	Environmental	Terrestrial	Boreal forest/Taiga	Soil	Unclassified			.2	677.6	USA: Healy, Alaska	Terrestrial soil	forest topsoil	USA	63.875088			-149.210438							2021/6/22			853472039	1501350	844045	8	0	164	525987019	61.63	852296794	99.86	1491852	99.37
3300069278	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Toolik Field Station, Alaska, USA - TOOL_042-O-20210803-comp-1 re-annotation	DOE Joint Genome Institute  (JGI)	3300069278	Gs0161344	Environmental	Terrestrial	Tundra	Soil	Unclassified			.1	805.4	USA: Toolik Field Station, Alaska	Terrestrial soil	tundra topsoil	USA	68.664072			-149.381292							2021/8/3			2672095979	6305045	4827175	0	0	809	1592604450	59.6	2668922085	99.88	6281182	99.62
