Bin ID,Genome Name,IMG Genome ID,Bin Quality,Bin Lineage,GTDB-Tk Taxonomy Lineage,Bin Methods,Created By,Date Added,Bin Completeness,Bin Contamination,Total Number of Bases,5s rRNA,16s rRNA,23s rRNA,tRNA Genes,Gene Count,Scaffold Count,GOLD Study ID
3300060643_14,"Terrestrial soil microbial communities from National Grasslands LBJ, Texas, USA - CLBJ_001-M-20210506-comp-1",3300060643,MQ,,Bacteria; Acidobacteriota; Blastocatellia; Pyrinomonadales; Pyrinomonadaceae; PSRF01,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-06,96.15,2.56,6247032,0,1,0,54,5373,39,Gs0161344
3300060643_16,"Terrestrial soil microbial communities from National Grasslands LBJ, Texas, USA - CLBJ_001-M-20210506-comp-1",3300060643,MQ,Bacteria,Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; UBA2999; Gp6-AA45,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-06,77.5,5.3,5394623,0,0,0,32,5406,878,Gs0161344
3300060643_18,"Terrestrial soil microbial communities from National Grasslands LBJ, Texas, USA - CLBJ_001-M-20210506-comp-1",3300060643,MQ,Bacteria; Actinomycetota; Actinomycetes,Bacteria; Actinobacteriota; Actinomycetia; Streptosporangiales; Streptosporangiaceae; Chersky-822,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-06,77.15,1.99,4389455,0,0,0,35,4705,607,Gs0161344
3300060643_2,"Terrestrial soil microbial communities from National Grasslands LBJ, Texas, USA - CLBJ_001-M-20210506-comp-1",3300060643,MQ,Bacteria; Actinomycetota; Actinomycetes,Bacteria; Actinobacteriota; Actinomycetia; Mycobacteriales; Jatrophihabitantaceae; JAFAWL01,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-06,58.36,3.74,3228217,0,0,0,29,3762,592,Gs0161344
3300060643_28,"Terrestrial soil microbial communities from National Grasslands LBJ, Texas, USA - CLBJ_001-M-20210506-comp-1",3300060643,MQ,Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; VAZQ01,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-06,68.73,4.67,3245901,0,0,0,12,3446,474,Gs0161344
3300060643_35,"Terrestrial soil microbial communities from National Grasslands LBJ, Texas, USA - CLBJ_001-M-20210506-comp-1",3300060643,MQ,Bacteria; Acidobacteriota,Bacteria; Acidobacteriota; Blastocatellia; Pyrinomonadales; Pyrinomonadaceae,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-06,50.86,0,3539077,1,0,1,26,3432,386,Gs0161344
3300060643_5,"Terrestrial soil microbial communities from National Grasslands LBJ, Texas, USA - CLBJ_001-M-20210506-comp-1",3300060643,MQ,Bacteria; Chloroflexota; Ktedonobacteria; Ktedonobacterales; Dictyobacteraceae,Bacteria; Chloroflexota; Ktedonobacteria; Ktedonobacterales; Ktedonobacteraceae,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-06,59.57,2.97,3283821,3,1,1,24,2969,270,Gs0161344
3300060643_6,"Terrestrial soil microbial communities from National Grasslands LBJ, Texas, USA - CLBJ_001-M-20210506-comp-1",3300060643,MQ,Bacteria,Bacteria; Acidobacteriota; Blastocatellia; Pyrinomonadales; Pyrinomonadaceae; QHXM01,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-06,73.28,3.16,4908522,0,1,0,37,4603,547,Gs0161344
3300060644_13,"Terrestrial soil microbial communities from Caribou Creek Watershed, Alaska, USA - BONA_009-O-20210707-comp-1",3300060644,MQ,Bacteria; Actinomycetota; Thermoleophilia; Solirubrobacterales,Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; Solirubrobacteraceae; Palsa-744,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-06,96.72,1.71,2963684,1,0,1,47,2890,10,Gs0161344
3300060644_14,"Terrestrial soil microbial communities from Caribou Creek Watershed, Alaska, USA - BONA_009-O-20210707-comp-1",3300060644,MQ,Bacteria; Acidobacteriota; Terriglobia; Terriglobales; Acidobacteriaceae; Granulicella; Granulicella mallensis,Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; Acidobacteriaceae; UBA5172,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-06,72.68,5.17,2831874,0,0,0,34,2691,186,Gs0161344
